sample_folder,start_time,question,options,standard_answer,task_type
sample_427,50,"During the sequence, which hand does the person place on the beige bag with black straps?",A) Left hand B) Right hand C) Both hands D) Neither hand,B,Action Perception
sample_453,50,What color is the bicycle that appears on the sidewalk as the vehicle moves forward?,A) Orange B) Blue C) Red D) Green,A,Attribute Perception
sample_495,50,What number is displayed on the black car that moves into the frame from the left during the sequence?,A) 17 B) 71 C) 7 D) 1,B,Text-Rich Understanding
sample_496,50,"As the video progresses, what happens to the white and red race car?","A) It moves to the right and exits the frame.  
B) It moves to the left and exits the frame.  
C) It remains stationary in the center of the frame.  
D) It splits into two smaller vehicles.",B,Action Perception
sample_7,60,What number is displayed on the back of the player's jersey as he prepares to take the free kick?,A) 7 B) 10 C) 11 D) 14,B,Text-Rich Understanding
sample_11,60,What is the time displayed on the timer at the moment when the person lifts the lid off the pan?,A) 09:59 B) 09:60 C) 09:69 D) 10:00,A,Text-Rich Understanding
sample_35,60,What word is printed on the white container located on the kitchen counter to the right of the scene?,A) SALT B) SUGAR C) ICE D) WATER,C,Text-Rich Understanding
sample_41,60,What word is visible on the label of the spice bottle being used?,A) Organic B) Premium C) Gourmet D) Spicy,A,Text-Rich Understanding
sample_49,60,What brand name is printed on the white cutting tool being used?,A) Cricut B) Craft C) Cutco D) Crict,A,Text-Rich Understanding
sample_53,60,What shape is embossed on the pink paper component during the assembly process?,A) Circle  B) Square  C) U-shape  D) Triangle,C,Attribute Perception
sample_54,60,"What specific claim is printed below ""MICA POWDER"" on the product box?",A) NON-TOXIC | SKIN SAFE B) VEGAN | ECO-FRIENDLY C) 100% PURE | NATURAL D) WATERPROOF | LONG-LASTING,A,Text-Rich Understanding
sample_81,60,"What year is listed for the film ""His Girl Friday"" in the viewing assignment on the whiteboard?",A) 1938 B) 1940 C) 1949 D) 1950,B,Text-Rich Understanding
sample_94,60,What is the text written on the water tower in the scene?,A) LITTLE CORPSE B) LITTLE CORNERS C) LITTLE CORN D) CATTLE CORPSE,B,Text-Rich Understanding
sample_127,60,What color is the tip of the paintbrush used to apply the eye detail?,A) Green B) Yellow C) Blue D) White,B,Attribute Perception
sample_181,60,What is the power output (in watts) displayed during the initial segment of the video?,A) 216 B) 236 C) 217 D) 235,B,Text-Rich Understanding
sample_191,60,What time interval is stated in the video for when the sun will set?,A) 10 to 15 minutes B) 15 to 20 minutes C) 5 to 10 minutes D) 16 to 15 minutes,A,Text-Rich Understanding
sample_192,60,What is the complete phrase displayed when the video shows a dark background with a smaller video frame in the center?,A) it rude! B) it's a bit rude! C) leave me alone D) Hello there mr chicken,B,Text-Rich Understanding
sample_194,60,What text appears on the screen in the scene where the crosshair is visible against the sky?,A) *there* B) *here* C) *now* D) *look*,B,Text-Rich Understanding
sample_195,60,"What is the count of the item displayed in the player's inventory bar during the frame where the on-screen text reads ""if there is actually""?",A) 53 B) 54 C) 55 D) 56,C,Counting
sample_196,60,What is the name of the tool displayed above the inventory bar when the player switches items?,"A) Iron Shovel  
B) Diamond Shovel  
C) Netherite Shovel  
D) Wooden Shovel",C,Object Perception
sample_274,60,What company name is visible on the side of the delivery van?,A) GoPostal B) MailExpress C) SpeedyDelivery D) UnitedParcel,A,Text-Rich Understanding
sample_298,60,What brand name is visible on the bicycle's handlebar?,A) ON3UP B) ONEUP C) ONEIP D) ONEWP,B,Text-Rich Understanding
sample_308,60,What is the text on the blue sign mounted near the entrance of the yellow building?,A) Guest Relations B) Information Desk C) Ticket Sales D) Visitor Services,A,Text-Rich Understanding
sample_350,60,What text is printed on the blue shirt of the person preparing food?,"A) Heller Street, Newark  
B) Heller Parkway, Newark  
C) Heller Pkwy, Newark  
D) Heller Ave, Newark",C,Text-Rich Understanding
sample_352,60,Which accessory is visible on the person's right hand while drying the bowl?,A) A ring  B) A watch  C) A bracelet  D) No accessory,A,Attribute Perception
sample_356,60,What object is the person in the background holding while another person fills a metal cup with water from the faucet?,"A) Spray bottle
B) Water bottle
C) Cleaning cloth
D) Bottle of cleaner",A,Object Perception
sample_366,60,What brand name is displayed on the green oval logo on the front of the espresso machine?,A) Rancilio B) La Marzocco C) Nuova Simonelli D) Breville,B,Text-Rich Understanding
sample_377,60,What color is the handle of the knife used to cut the bread?,A) Red B) Blue C) Green D) Black,C,Attribute Perception
sample_381,60,What identification number is displayed at the top of the rear of the white bus?,A) 071 B) 017 C) 107 D) 701,B,Text-Rich Understanding
sample_389,60,What word is painted in white on the red-paved lane in the foreground?,A) ONLY B) STOP C) LANE D) WAIT,A,Text-Rich Understanding
sample_391,60,What is the acronym displayed on the side of the white emergency vehicle in the right lane?,A) NYPD B) NYFD C) NYPP D) NYPC,A,Text-Rich Understanding
sample_392,60,What organization name is visible on the side of the white bus on the left side of the street?,"A) DOWNTOWN UNION
B) METROPOLITAN TRANSIT
C) DOWNTOWN ALLIANCE
D) CITY ALLIANCE",C,Text-Rich Understanding
sample_399,60,What word is painted on the road in the left-turn lane?,A) LEFT B) ONLY C) OLY D) LANE,B,Text-Rich Understanding
sample_402,60,What word is printed on the side of the bus?,A) ELECTRIC B) DIESEL C) HYBRID D) GASOLINE,C,Text-Rich Understanding
sample_406,60,What color are the measurement indicators visible on the white container near the beer taps?,A) Red B) Blue C) Green D) Black,B,Attribute Perception
sample_409,60,What warning is printed on the deep fryer's surface?,"A) DO NOT USE SOLID OIL  
B) DO NOT USE ANY KIND OF SOLID FAT  
C) DO NOT OPERATE WITHOUT OIL  
D) DO NOT USE METAL UTENSILS",B,Text-Rich Understanding
sample_415,60,What color of gloves is the person putting on in the final frame?,A) Blue B) White C) Black D) Clear,B,Attribute Perception
sample_425,60,"During the sequence, what object is visible in the distance on the left side of the grassy field?","A) A car  
B) An airplane  
C) A tractor  
D) A bus",B,Object Perception
sample_437,60,What number is displayed on the price tag located below the stack of yogurt containers on the shelf?,A) 30 B) 36 C) 38 D) 40,B,Text-Rich Understanding
sample_442,60,What is the exact price displayed on the shelf tag for the yogurt product?,A) 34.00 B) 34.50 C) 34.99 D) 35.00,B,Text-Rich Understanding
sample_443,60,What product description is printed on the blue and white containers being handled in the store?,A) crème brûlée B) crème fraîche C) fromage blanc D) yogurt,B,Text-Rich Understanding
sample_471,60,What color are the shoes of the person standing near the painting who is wearing black clothing?,A) Black B) White C) Brown D) Gray,B,Attribute Perception
sample_10,60,In which direction does the person turn their head while preparing the food?,A) Left B) Right C) Up D) Down,B,Action Perception
sample_44,60,How many eggs are cracked into the bowl during the sequence shown?,A) One B) Two C) Three D) None,B,Counting
sample_67,60,What action does the hand perform on the machine's control panel during the sequence?,"A) Presses the blue button  
B) Rotates the white dial  
C) Adjusts the top lever  
D) Taps the screen",A,Action Perception
sample_165,60,What object appears on the road surface as the vehicle progresses forward?,A) Pothole  B) Manhole cover  C) Road crack  D) Speed bump,B,Object Perception
sample_166,60,"What is the highest value displayed for the ""1/min"" metric during the video sequence?",A) 59 B) 61 C) 62 D) 64,D,Text-Rich Understanding
sample_167,60,"What is the final value of the metric labeled ""1/min"" displayed in the video?",A) 0 B) 78 C) 1 D) 5.3,B,Text-Rich Understanding
sample_12,70,What object is visible on the white tiled wall to the right of the person?,A) Power outlet  B) Light switch  C) Small vent  D) Nothing,A,Object Perception
sample_18,70,What time is displayed on the timer during the overhead shot where the person is adding ingredients to the white pan?,A) 09:59 B) 09:58 C) 09:56 D) 09:50,B,Text-Rich Understanding
sample_39,70,What word is visible on the counter near the sink in the kitchen?,A) HOT B) COLD C) COOK D) KITCHEN,A,Text-Rich Understanding
sample_55,70,What color are the scissors' handles used in the video?,A) Black B) Silver C) Orange D) Blue,C,Attribute Perception
sample_71,70,"What is the correct spelling of the term listed under ""SHOULD INCLUDE"" that refers to the arrangement of visual elements within a scene?","A) SCENE  
B) SCÈNE  
C) SCENES  
D) SCÉNE",B,Text-Rich Understanding
sample_78,70,"What year is specified in the ""VIEWING"" section of the whiteboard?",A) 1979 B) 1981 C) 1982 D) 1985,B,Text-Rich Understanding
sample_87,70,"What word completes the lab assignment instruction: ""USE ADR TO REPLACE THE ______""?",A) DIALOG B) DIALOGUE C) DIALOGS D) DIALOGING,B,Text-Rich Understanding
sample_88,70,"What year is listed for the film ""Jurassic Park"" in the viewing assignment on the whiteboard?",A) 1991 B) 1992 C) 1993 D) 1994,C,Text-Rich Understanding
sample_101,70,"What is the last letter of the word ""STORYBOARD"" as written on the whiteboard?","A) R  
B) D  
C) O  
D) B",B,Text-Rich Understanding
sample_110,70,What symbol is visible on the pocket of the person's white T-shirt?,"A) R  
B) P  
C) B  
D) No symbol",B,Attribute Perception
sample_125,70,What is the color of the small mark on the left side of the wooden board?,A) Black B) Brown C) Green D) Blue,C,Attribute Perception
sample_149,70,What is the RPE range specified for Week 6 in the training program?,A) 0-0 B) 5-6 C) 7-8 D) 8-9,B,Text-Rich Understanding
sample_171,70,What is the speed value displayed on the speedometer in the final frame of the video?,A) 49 B) 53 C) 54 D) 55,D,Text-Rich Understanding
sample_188,70,What item name is displayed in the inventory interface when the player has collected water from the source block?,"A) Water Bottle
B) Bottle of Water
C) Filled Glass Bottle
D) Liquid Container",A,Text-Rich Understanding
sample_194,70,What is the current objective displayed in the game interface?,"A) Gather Stone  
B) Mine Iron  
C) Collect Wood  
D) Build House",A,Text-Rich Understanding
sample_202,70,What detail is visible on the yellow wall in the background?,"A) A small dark mark  
B) A faint white streak  
C) A green smudge  
D) A red dot",A,Attribute Perception
sample_246,70,What is the small figure in the background doing at the 1.4-second mark?,A) Shouting B) Smiling C) Sleeping D) Running,A,Action Perception
sample_259,70,What number is displayed on the back of the yellow-vested player in the foreground during the sequence?,A) 0 B) 6 C) 8 D) 9,D,Text-Rich Understanding
sample_265,70,What Korean phrase appears in the dialogue text when Kim asks about Jay's recovery?,A) 제이 다친곳은 괜찮아? B) 제이 완전히 나았어? C) 제이 부상에서 회복했어? D) 제이 몸 상태는 어때?,A,Text-Rich Understanding
sample_281,70,Which phrase appears in the chat messages during the character creation screen?,"A) I HAVE A DOG  
B) I HAVE A HUSBAND  
C) I HAVE A CAR  
D) I HAVE A JOB",B,Text-Rich Understanding
sample_282,70,What is depicted in the small icon in the bottom left corner of the gameplay screen?,A) A car B) A person wearing a Santa hat C) A tree D) A building,B,Object Perception
sample_305,70,Which subway lines serve the station visible in the video?,"A) 4, 5, 6  B) 1, 2, 3  C) R, W  D) 7, N, Q",C,Text-Rich Understanding
sample_307,70,What is the license plate number on the blue truck parked in the covered area?,A) 12-29 B) 12-24 C) 15-29 D) 22-29,A,Text-Rich Understanding
sample_313,70,What is the alphanumeric identifier painted on the parking space where the silver SUV is parked?,A) V34 B) V35 C) V36 D) V37,B,Text-Rich Understanding
sample_348,70,What color is the glove visible near the metal machine?,A) Red B) Blue C) White D) Black,B,Attribute Perception
sample_366,70,What type of milk is indicated on the yellow carton placed near the sink?,"A) Almond  
B) Soy  
C) Oat  
D) Coconut",A,Text-Rich Understanding
sample_371,70,What number is printed on the white bowl placed on the counter near the sink?,A) 11 B) 22 C) 33 D) 88,C,Text-Rich Understanding
sample_381,70,What address is displayed on the green awning of the building on the right side of the street?,A) 25 PARK AVENUE B) 23 PARK AVENUE C) 27 PARK AVENUE D) 29 PARK AVENUE,A,Text-Rich Understanding
sample_389,70,What bank name is visible on the building on the right side of the street?,A) CHASE B) CITI C) BANK OF AMERICA D) WELLS FARGO,A,Text-Rich Understanding
sample_400,70,What text is displayed on the rear of the white van positioned on the left side of the road?,A) DOLITE B) DOLOMITE C) DOLAR D) DOLPHIN,B,Text-Rich Understanding
sample_443,70,What word is visible on the side of the cardboard box in the warehouse scene?,A) BAND B) GRAND C) BRAND D) SAND,C,Text-Rich Understanding
sample_444,70,What color pattern do the gloves worn by the person handling the boxes have?,A) Black B) Blue with white stripes C) Black with yellow trim D) White with red accents,C,Attribute Perception
sample_453,70,What is the name of the commercial building visible on the left side of the street during the sequence?,A) River Quarter B) Riverside Plaza C) River District D) River View,A,Text-Rich Understanding
sample_455,70,What color is the hood of the vehicle visible through the windshield?,A) Red B) Orange C) Yellow D) Green,C,Attribute Perception
sample_456,70,What text appears on the side of the orange van that crosses the intersection?,A) 13cabs B) 18cabs C) 23cabs D) 15cabs,A,Text-Rich Understanding
sample_484,70,What text is displayed on the billboard featuring a rabbit logo visible during the race?,A) TRB  B) TBR  C) TBC  D) BRT,B,Text-Rich Understanding
sample_488,70,What is the text displayed on the billboard visible during the race sequence?,A) TBC  B) TBR  C) TBL  D) T8R,B,Text-Rich Understanding
sample_497,70,What phrase appears in the upper right corner of the frame during the final sequence?,"A) ARE YOU TRACKIN'?  
B) ARE YOU TRACKING?  
C) ARE YOU TRUCKIN'?  
D) ARE YOU TRACKIN",A,Text-Rich Understanding
sample_19,70,What object does the person reach for during the sequence?,A) A bowl B) A pan C) A knife D) A pot,B,Action Perception
sample_40,70,How is the red spice transferred into the glass bowl during the preparation?,"A) Poured directly from the container  
B) Sprinkled by hand  
C) Added using a spoon  
D) Mixed with a whisk first",C,Action Perception
sample_82,70,What year is consistently shown for the viewing assignment film throughout the whiteboard segment?,A) 1949 B) 1999 C) 1971 D) 1909,A,Text-Rich Understanding
sample_143,70,What happens to the lifter's hips during the upward phase of the bench press movement?,"A) Hips remain stationary on the bench  
B) Hips move downward toward the floor  
C) Hips lift upward off the bench  
D) Hips shift laterally to the left",C,Action Perception
sample_146,70,"During the bench press set, in which direction does the person in the background move?","A) Left to right  
B) Right to left  
C) Stationary  
D) Back and forth",A,Action Perception
sample_164,70,How many times does the gradient percentage change during the video sequence?,A) 0 B) 1 C) 2 D) 3,C,Counting
sample_183,70,How does the power output (in watts) change during the sequence of frames?,"A) Remains constant  
B) Decreases gradually  
C) Increases sharply  
D) Fluctuates slightly",C,Text-Rich Understanding
sample_257,70,What text appears on the screen during the attempt to score a goal?,A) Nice shot B) Good try C) Try again D) Almost,B,Text-Rich Understanding
sample_260,70,"During the maneuver to avoid the oncoming yellow car, how many hands does the driver use to steer?",A) One hand B) Two hands C) Three hands D) No hands,B,Action Perception
sample_268,70,What steering technique is the driver using during the turn sequence?,A) Hand-over-hand (one hand crosses over the other) B) Push-pull (hands move in opposite directions without crossing) C) One-hand steering D) Two-hand constant grip (no hand movement),B,Action Perception
sample_286,70,What item does the character begin wearing in the second frame that was not present in the first frame?,A) Headphones B) Sunglasses C) Goggles D) Cap,C,Object Perception
sample_288,70,What is the highest speed value displayed on the speedometer during the video sequence?,A)70 B)72 C)75 D)76,D,Attribute Perception
sample_290,70,What is the maximum speed displayed on the vehicle's speedometer during the sequence?,A) 74 B) 75 C) 76 D) 77,C,Text-Rich Understanding
sample_313,70,What action does the person in the purple shirt perform while crossing the parking lot?,"A) Checking a mobile phone  
B) Waving at someone  
C) Adjusting their glasses  
D) Carrying a shopping bag",A,Action Perception
sample_343,70,How many spatulas does the person use to handle the food items during the sequence?,A) 1 B) 2 C) 3 D) 4,B,Counting
sample_360,70,What does the digital scale display immediately after the button is pressed?,"A) ""0.00"" B) ""1.00"" C) ""ACA IA"" D) ""Error""",A,Text-Rich Understanding
sample_366,70,What color is the liquid being poured into the measuring cup during the action?,A) Clear B) White C) Yellow D) Brown,B,Attribute Perception
sample_374,70,"In the video, what is the correct sequence of glove colors handled by the hands during the process?","A) Black then white  
B) White then black  
C) Only white  
D) Only black",B,Action Perception
sample_388,70,What phrase appears on the central vertical billboard after its initial display?,"A) ""IT'S ALWAYS THE SEASON"" B) ""TIS ALWAYS THE SEASON"" C) ""SEASON'S GREETINGS"" D) ""HOLIDAY SPECIAL""",B,Text-Rich Understanding
sample_405,70,What action is the person performing with the refrigerator door?,A) Opening B) Closing C) Holding D) Ignoring,A,Action Perception
sample_453,70,What is the maximum speed value displayed on the dashboard speedometer throughout the video sequence?,A) 11 B) 12 C) 13 D) 14,D,Attribute Perception
sample_28,80,What is written on the woman's sweatshirt in the scene where she stands in front of the window with pink flowers?,A) New York B) Tokyo C) Osaka D) London,C,Text-Rich Understanding
sample_35,80,What number is displayed on the white board near the bookshelf?,A) 1 B) 2 C) 3 D) 4,A,Text-Rich Understanding
sample_37,80,What two-letter abbreviation is printed on the phone case held by the person in the black top?,A) TR B) RT C) TT D) RR,A,Text-Rich Understanding
sample_39,80,What word is printed on the label of the jar located on the top shelf directly to the left of the brown ceramic pot?,A) SUGAR B) FLOUR C) CEREAL D) SALT,C,Text-Rich Understanding
sample_47,80,"In the overhead shot of the kitchen counter, what type of spice is visible in the small bowl to the left of the plate containing raw meat?",A) Red chili flakes B) Black pepper C) White salt D) Yellow turmeric,A,Object Perception
sample_58,80,"What text is printed directly below the ""Cricut"" logo on the machine's tool head during operation?",A) CUT SMART 1 B) CUT SMART 2 C) CUT SMART 3 D) CUT SMART 4,B,Text-Rich Understanding
sample_60,80,What text is visible in the bottom right corner of the video?,A) CRAFT B) CRAFTS C) CRATE D) CRAFTY,A,Text-Rich Understanding
sample_62,80,What specific label is visible on the product box in the video?,A) Non-Toxic  B) Eco-Friendly  C) Food Safe  D) BPA Free,C,Text-Rich Understanding
sample_70,80,What is the label on the green button located in the top-right corner of the interface?,A) Material B) Make It C) Design D) Create,B,Text-Rich Understanding
sample_73,80,What number is written inside the spiral on the whiteboard?,A) 1 B) 7 C) 4 D) 9,B,Text-Rich Understanding
sample_80,80,"What year is listed next to ""VERTIGO"" on the whiteboard during the lighting lesson?",A) 1952 B) 1958 C) 1962 D) 1968,B,Text-Rich Understanding
sample_81,80,What is the shape of the belt buckle visible on the character's waist?,A) Square B) Circular C) Rectangular D) Triangular,C,Attribute Perception
sample_147,80,What specific instruction about muscle activation appears in the exercise demonstration?,"A) ""teres may overpower the lats for some people"" B) ""focus on proper breathing technique"" C) ""teres and lats should both be active"" D) ""maintain consistent speed throughout""",C,Text-Rich Understanding
sample_175,80,What number is displayed on the back of the cyclist wearing the orange and white jersey?,A) 835 B) 855 C) 885 D) 558,B,Text-Rich Understanding
sample_250,80,What is the text printed on the pizza box?,A) Pizza B) Piza C) Pzz D) Pasta,A,Text-Rich Understanding
sample_265,80,What nationality does the person claim to be in the subtitle during the scene where the individual in the blue shirt speaks?,"A) Japanese  
B) Korean  
C) Chinese  
D) American",B,Text-Rich Understanding
sample_274,80,What text appears on the loading screen shown during the video?,A) Starting FiveM B) Starting FiveG C) Initializing Game D) Loading Assets,A,Text-Rich Understanding
sample_283,80,What is the current speed displayed in the game interface when the vehicle is traveling under the overpass?,A) 75 B) 65 C) 46 D) 35,C,Text-Rich Understanding
sample_314,80,What text is displayed on the traffic sign visible in the scene?,A) STOP B) YIELD C) GO D) SLOW,A,Text-Rich Understanding
sample_322,80,What symbol appears on the circular signs visible on the escalator sides in the later frames?,"A) A hand holding a railing  
B) A person with a diagonal line through it  
C) A shoe with an arrow  
D) An upward-pointing arrow",B,Text-Rich Understanding
sample_340,80,What colors are the gloves worn by the person preparing the food?,"A) Both gloves are black
B) Both gloves are white
C) One black glove and one white glove
D) One black glove and one brown glove",C,Attribute Perception
sample_352,80,What text appears on the card visible on the kitchen counter near the cutting board?,A) Thank You! B) Happy Birthday C) Welcome D) Congratulations,A,Text-Rich Understanding
sample_353,80,What is visible on the chef's left forearm?,"A) Tattoo  
B) Scar  
C) Sleeve  
D) Watch",A,Attribute Perception
sample_369,80,What color is the digital display on the coffee machine?,A) Red B) Blue C) Green D) Yellow,C,Attribute Perception
sample_380,80,What is the license plate number on the black Toyota SUV in the center of the frame?,A) T192S70 B) T192570 C) T192670 D) T192870,B,Text-Rich Understanding
sample_402,80,How many people with umbrellas are visible on the right side of the street?,A) 0 B) 1 C) 2 D) 3,B,Counting
sample_414,80,What text is printed on the cardboard box visible on the floor of the grocery aisle?,A) DO NOT CUT TOP B) THIS SIDE UP C) FRAGILE CONTENTS D) RECYCLABLE MATERIAL,A,Text-Rich Understanding
sample_426,80,What text is printed on the person's shirt?,A) FLY B) FLY. C) FLY! D) FLY?,B,Text-Rich Understanding
sample_436,80,What phrase is printed on the white product boxes displayed on the shelf?,"A) ""Lak med maten!"" B) ""Mjölk 3%"" C) ""Havregrynsgröt"" D) ""Pannkakssmet""",A,Text-Rich Understanding
sample_440,80,"What number is displayed on the price tag attached to the upper shelf, positioned above the cylindrical containers?",A) 15 B) 19 C) 33 D) 25,B,Text-Rich Understanding
sample_446,80,What brand name is printed on the green packaging near the stacked white circular containers?,A) Bregatt B) Bregott C) Bregart D) Bregant,B,Text-Rich Understanding
sample_447,80,What is the correct spelling of the word printed on the front of the yogurt container being held by the person?,A) YOGURT B) YOGHURT C) YOGHOURT D) YOGOURT,B,Text-Rich Understanding
sample_461,80,What color is the roof of the small house depicted in the landscape painting featuring a large cloud?,A) Blue B) Green C) Orange D) White,C,Attribute Perception
sample_466,80,What action is the person reflected in the black artwork performing?,"A) Looking at another piece of art
B) Reading the informational plaque
C) Taking a photograph
D) Walking through the gallery",C,Action Perception
sample_472,80,What location is specified on the pink gallery sign?,A) TOKYO JAPAN B) SEOUL KOREA C) NEW YORK USA D) OSAKA JAPAN,D,Text-Rich Understanding
sample_478,80,What is the name of the gallery displayed on the wall in the exhibition space?,"A) MONTAGUE GALER  
B) MONTAGUE GALLERY New York  
C) MONTAGUE GALLERY San Francisco  
D) MONTAGUE EXHIBITION",C,Text-Rich Understanding
sample_480,80,What name is displayed on the small sign adjacent to the colorful vertical artwork?,A) Mbah Dooh B) Mpah Dooh C) Mah Doh D) Mph Dooh,B,Text-Rich Understanding
sample_486,80,What text is displayed on the blue billboard located near the curved track section?,A) SpeedZone B) TurboChase C) Crazy8 D) RaceMaster,C,Text-Rich Understanding
sample_488,80,What is the name of the driver associated with car number 28 in the leaderboard?,A) R. Laney B) T. Treadless C) J. Carvers D) Junyi,B,Text-Rich Understanding
sample_489,80,What text appears on the billboard located alongside the track in the hilly section of the race course?,A) BB B) BD C) DB D) DD,D,Text-Rich Understanding
sample_24,80,In which direction is the jar cap twisted to open it?,"A) Clockwise  
B) Counterclockwise  
C) Pulled straight up  
D) Snapped off",B,Action Perception
sample_41,80,How many distinct pouring motions does the person make while adding the liquid to the bowl?,"A) One continuous motion  
B) Two separate motions  
C) Three separate motions  
D) Four separate motions",A,Counting
sample_82,80,How many boxes are visible in the air during the throwing motion?,A) 1 B) 2 C) 3 D) 0,A,Counting
sample_172,80,What text becomes visible on the building's mural as the camera moves forward?,A) WAS  B) WAR  C) WES  D) WOS,A,Text-Rich Understanding
sample_186,80,"After the on-screen text appears, which item does the player select?",A) Sword B) Bow C) Pickaxe D) Axe,B,Action Perception
sample_195,80,What food item is the player consuming while moving through the forest?,A) Apple B) Bread C) Baked Potato D) Cooked Chicken,C,Object Perception
sample_237,80,"In the sequence where the character opens the box, what is the direction of the hands' movement relative to each other?","A) Inward toward each other  
B) Outward away from each other  
C) Upward in unison  
D) Downward in unison",B,Action Perception
sample_271,80,"After approaching the blue structure, what movement does the character perform?",A) Walking slowly B) Running C) Jumping D) Standing still,B,Action Perception
sample_274,80,What text appears on the loading screen during the video's progression?,"A) Starting FiveM - We're getting there.  
B) Loading Game - Please wait.  
C) FiveM Init - Connecting.  
D) Game Start - Loading assets.",A,Text-Rich Understanding
sample_305,80,What is the movement direction of the pedestrian wearing black clothing during the middle portion of the video?,A) Towards the camera B) Away from the camera C) From left to right D) From right to left,B,Action Perception
sample_317,80,What is the consistent color of the bag carried by the person walking across the scene?,A) Blue B) Red C) Black D) White,B,Attribute Perception
sample_343,80,What is the direction of movement of the glass container with white paper during the sequence?,A) Leftward B) Rightward C) Upward D) Downward,A,Action Perception
sample_347,80,"In the sequence, after the food items are topped, in which direction are they moved before being placed on the paper?","A) Left to right  
B) Right to left  
C) Upward  
D) Downward",A,Action Perception
sample_371,80,"After pouring the liquid into the measuring cup, what action does the person perform next?","A) Cap the bottle  
B) Place the cup on the counter  
C) Wipe the counter  
D) Pour into another container",A,Action Perception
sample_379,80,What action is the person performing with the plastic bag across the sequence of frames?,"A) Tying the bag shut  
B) Opening the bag  
C) Closing the bag  
D) Discarding the bag",B,Action Perception
sample_392,80,What appears on the construction barrier as the vehicle progresses along the road?,"A) A plain green surface with text  
B) A mural depicting multiple people  
C) A series of advertisements  
D) A construction schedule chart",B,Text-Rich Understanding
sample_403,80,What is the movement of the black SUV positioned on the left side of the street throughout the video sequence?,"A) It advances forward into the intersection  
B) It reverses backward  
C) It remains stationary  
D) It turns right",A,Action Perception
sample_416,80,"As the video progresses, what new element becomes visible in the latter frames?","A) A second airplane flying nearby  
B) The interior of the aircraft’s cockpit  
C) A large cloud formation  
D) A river delta",B,Object Perception
sample_448,80,"During the sequence, where is the small brown item placed in relation to the green box?","A) To the left of the green box  
B) To the right of the green box  
C) On top of the green box  
D) Not placed on the shelf",B,Spatial Understanding
sample_459,80,How does the driver's hand interact with the steering wheel during the video sequence?,"A) The driver keeps both hands off the steering wheel for the entire sequence
B) The driver places one hand on the steering wheel and keeps it stationary
C) The driver places one hand on the steering wheel and makes small adjustments to its position
D) The driver alternates between using both hands and one hand on the steering wheel",C,Action Perception
sample_488,80,"During the race sequence, which driver appears on the leaderboard for the first time?",A) #57 Junyi B) #123 J. Carvers C) #21 R. Laney D) #28 T. Treadless,D,Text-Rich Understanding
sample_1,90,What is the jersey number of the player in white controlling the ball near the center circle during the 36th minute?,A) 22  B) 23  C) 24  D) 25,C,Text-Rich Understanding
sample_8,90,What number is displayed on the front of the player's white jersey in the penalty area?,A) 3 B) 8 C) 5 D) 7,A,Text-Rich Understanding
sample_10,90,What shape is visible on the man's shirt?,"A) A red circle  
B) A black square  
C) A white triangle  
D) A yellow star",C,Attribute Perception
sample_42,90,What ingredient is labeled on the jar the person is holding?,A) Soy Sauce B) Miso C) Salsa D) Jam,B,Text-Rich Understanding
sample_67,90,What name appears below the black circular design on the white sheet?,A) Ryan B) Rylan C) Kyan D) Royan,A,Text-Rich Understanding
sample_68,90,What brand name is visible on the precision tool being used to place the small floral element?,A) Craft B) Cricut C) Cricut D) Cutco,B,Text-Rich Understanding
sample_81,90,What year is specified for the film 'His Girl Friday' in the lesson's viewing assignment?,A) 1910 B) 1940 C) 1970 D) 1990,B,Text-Rich Understanding
sample_89,90,"According to the whiteboard, what year is associated with the film 'Singin' in the Rain'?",A) 1942 B) 1952 C) 1962 D) 1972,B,Text-Rich Understanding
sample_145,90,What color are the runner's shoes?,A) Black B) Gray C) White D) Blue,C,Attribute Perception
sample_153,90,What is the pattern on the gold vest worn by the man in the white shirt?,"A) Solid color with no visible pattern  
B) Intricate floral design  
C) Simple geometric shapes  
D) Alternating stripes",B,Attribute Perception
sample_169,90,What is the full name displayed on the large advertisement banner on the beige building?,A) Auchan B) Auchan EST C) Auchan Ouest D) Carrefour,B,Text-Rich Understanding
sample_179,90,What is the number displayed on the back of the cyclist wearing a red and black jersey?,A) 817 B) 821 C) 827 D) 871,B,Text-Rich Understanding
sample_180,90,What text appears directly below the truck symbol on the road sign visible along the right side of the road?,A) 5 km B) 3 km C) 2 km D) 4 km,B,Text-Rich Understanding
sample_181,90,"What is the race number displayed on the back of the cyclist wearing the ""UNITED"" jersey?",A) 828 B) 818 C) 888 D) 282,A,Text-Rich Understanding
sample_187,90,What item is the player hovering over in the inventory?,"A) Cobweb
B) Cobblestone
C) Coal
D) Copper",A,Object Perception
sample_192,90,What text appears on the screen during the sequence?,A) Success! B) Done! C) Perfect! D) Great!,C,Text-Rich Understanding
sample_245,90,What text is visible on the side of the wheelchair during the hallway scene?,A) F1 B) F2 C) FL D) F?,A,Text-Rich Understanding
sample_256,90,What does the Korean subtitle below the English text state?,"A) 다행히 크게 다치지 않은 선수  
B) 다행히 크게 부상하지 않은 선수  
C) 선수가 크게 다치지 않았습니다  
D) 다행히 선수는 무사합니다",A,Text-Rich Understanding
