sample_id,start_time,question,std_answer,Frame,task_type
176,140,What is the altitude in meters displayed at the beginning of the video?,214.3,Single,Text-Rich Understanding
177,140,What is the label for the temperature value displayed on the screen?,Temperatur,Single,Text-Rich Understanding
177,150,What is the percentage value displayed in the horizontal bar at the beginning of the video?,3%,Single,Text-Rich Understanding
179,130,What is the number on the back of the cyclist wearing the black jersey on the right side?,811,Single,Text-Rich Understanding
183,140,What text is visible on the left side of the screen during the cycling event?,PERFORMANCE BICYCLE,Single,Text-Rich Understanding
170,150,What is the current elevation in meters displayed on the elevation graph?,210.2,Single,Text-Rich Understanding
184,130,What number is displayed on the back of the cyclist's jersey?,845,Single,Text-Rich Understanding
184,150,What is the number on the cyclist's back?,845,Single,Text-Rich Understanding
184,140,What is the number on the back of the cyclist in the foreground?,845,Single,Text-Rich Understanding
187,140,What is the second number displayed in the player's status bar at the start of the video?,56,Single,Text-Rich Understanding
189,130,What number is displayed for the player's experience level in the game's user interface at the beginning of the video?,36,Single,Text-Rich Understanding
193,130,What is the quantity of Raw Copper displayed in the crafting inventory?,64,Single,Counting
193,150,What number is displayed next to the diamond sword in the player's hotbar?,51,Single,Text-Rich Understanding
186,130,What number is displayed next to the rightmost item in the player's hotbar?,36,Single,Text-Rich Understanding
196,140,What color is the character standing on the tower?,purple,Single,Attribute Perception
192,140,What is the name of the flower that appears when the player looks at it in the game?,Oxeye Daisy,Single,Object Perception
197,130,What is the player's experience level shown in the game interface?,43,Single,Text-Rich Understanding
195,130,What type of axe is the player holding in the game?,Diamond Axe,Single,Attribute Perception
197,140,What is the player's experience level displayed in the game interface?,43,Single,Text-Rich Understanding
201,140,What color is the small block in the left section of the block structure?,blue,Single,Attribute Perception
201,150,What color are the small blocks on the left side of the Lego structure?,blue,Single,Attribute Perception
201,130,What color is the small block in the left section of the LEGO structure?,blue,Single,Attribute Perception
205,130,How many green blocks are in the middle row of the block structure after the hands complete their placement?,4,Single,Counting
211,130,What text is printed on the person's t-shirt?,math Antics,Single,Text-Rich Understanding
208,150,How many studs are on the yellow block placed by the hand during the sequence?,4,Single,Counting
210,130,How many fingers are visible on the hand placing the green block?,2,Single,Counting
211,140,What is written on the person's shirt?,math Antics,Single,Text-Rich Understanding
221,150,What direction does the red arrow point?,left,Single,Attribute Perception
214,130,What symbol is used to represent multiplication in the area formula shown?,×,Single,Text-Rich Understanding
219,140,What color is the multiplication symbol in the equation displayed on the screen?,blue,Single,Attribute Perception
193,140,What is the player's experience level?,28,Single,Attribute Perception
197,150,What is the player's experience level?,43,Single,Text-Rich Understanding
224,140,"What color is the letter 'A' in the word ""Antics"" on the person's shirt?",red,Single,Attribute Perception
241,140,What color is the lamp shade in the room where the tent is set up?,purple,Single,Attribute Perception
245,140,What color is the flower on the woman's yellow hat?,blue,Single,Attribute Perception
244,140,What pattern is on the bedspread?,flowers,Single,Attribute Perception
231,130,What number is displayed on the dial of the control panel?,6,Single,Text-Rich Understanding
252,140,What brand name is printed on the driver's gloves?,Sparco,Single,Text-Rich Understanding
205,140,What is visible on the thumb of the left hand?,fingernail,Single,Object Perception
256,130,What color is the trim on the player's blue vest?,pink,Single,Attribute Perception
255,140,What is the score displayed in the top left corner of the video during the sequence?,"Korea 0:2 US, EU",Single,Text-Rich Understanding
262,150,What color is the driver's glove?,yellow,Single,Attribute Perception
261,140,What number is written on the paper visible in the car's interior?,60,Single,Text-Rich Understanding
263,130,What color is the driver's helmet?,green,Single,Attribute Perception
258,130,What is the number on the blue jersey of the player running with the ball?,12,Single,Text-Rich Understanding
261,150,What number is visible on the notebook placed inside the car?,60,Single,Text-Rich Understanding
264,150,What is the first part of the warning message displayed in the bottom right corner?,DO NOT ATTEMPT!,Single,Text-Rich Understanding
268,150,What word is visible on the driver's right glove?,freem,Single,Text-Rich Understanding
271,140,What three-letter abbreviation appears in the chat messages on the right side of the screen?,TTS,Single,Text-Rich Understanding
272,140,What time is displayed in the lower right corner of the screen?,12:41,Single,Text-Rich Understanding
199,130,What is the player's experience level?,11,Single,Text-Rich Understanding
273,130,What is the text of the chat message visible in the live stream's chat window?,STOP REDLINING,Single,Text-Rich Understanding
274,130,What number is displayed in the hexagonal UI element at the bottom left of the screen?,4,Single,Text-Rich Understanding
275,150,What phrase is repeated in the chat messages on the right side of the screen?,THE DAY BE 4.0,Single,Text-Rich Understanding
275,140,What is the name of the group displayed on the smartphone screen?,Gruppe 6,Single,Text-Rich Understanding
266,140,What number is displayed on the car's digital dashboard?,5,Single,Text-Rich Understanding
278,140,What is the name of the street intersection displayed at the top center of the game screen?,Prosperity St & Boulevard Del Perro,Single,Text-Rich Understanding
279,140,What time is displayed on the smartphone screen in the bottom right corner?,1:43:20,Single,Text-Rich Understanding
283,130,What is the text on the box held by the character in the safety vest?,grime,Single,Text-Rich Understanding
283,140,What is the text of the chat message displayed in the bottom right corner of the screen?,Load the cargo into the truck,Single,Text-Rich Understanding
281,130,What is one of the payment options displayed in the payment section of the interface?,Pay with Banking Card,Single,Text-Rich Understanding
284,140,What phrase is repeatedly displayed in the chat messages on the right side of the screen?,TAROT CARD,Single,Text-Rich Understanding
279,150,What number is visible in one of the chat messages on the right side of the screen?,707,Single,Text-Rich Understanding
287,150,What street name is shown on the mini-map in the bottom left corner of the screen?,Davis Avenue,Single,Text-Rich Understanding
285,140,What phrase appears in the chat message related to boots?,SQUEEKY BOOTS,Single,Text-Rich Understanding
296,130,What color is the cyclist's helmet?,white,Single,Attribute Perception
289,140,What is the text of the chat message displayed in the lower right corner of the screen?,Good Morning LS <3,Single,Text-Rich Understanding
291,140,What word is visible on the side of the truck in the scene?,grim,Single,Text-Rich Understanding
287,140,What is the payment range for the Los Santos Courthouse trucking job?,$500 - $600,Single,Text-Rich Understanding
293,140,What does the sign above the door in the room say?,THANKS FOR VISITING,Single,Text-Rich Understanding
298,130,What brand name is visible on the bicycle handlebar?,ONEUP,Single,Text-Rich Understanding
298,150,What brand name is visible on the bicycle handlebar?,ONEUP,Single,Text-Rich Understanding
293,130,What does the sign above the door in the background say?,THANKS FOR VISITING,Single,Text-Rich Understanding
310,130,What color are the boy's shoes?,blue,Single,Attribute Perception
298,140,What brand name is visible on the right side of the bicycle handlebar?,ONEUP,Single,Text-Rich Understanding
303,130,What text is visible on the sign inside the train compartment?,Maha views,Single,Text-Rich Understanding
310,140,What word is written on the green wall above the shelves near the exit door?,CHOCOLATE,Single,Text-Rich Understanding
314,140,What is written on the side of the tram?,UNIVERSAL STUDIOS,Single,Text-Rich Understanding
311,130,What word is written on the sign attached to the wooden fence?,NOTICE,Single,Text-Rich Understanding
312,140,What is written on the side of the smaller cart near the food stand?,ICE COLD DRINKS,Single,Text-Rich Understanding
310,150,What is the name of the shop with green-framed windows and a pink sign in the village square?,Honeydukes,Single,Text-Rich Understanding
312,130,What is the text on the left banner visible along the walkway?,KING KONG,Single,Text-Rich Understanding
317,140,What does the archway sign say?,LOWER LOT,Single,Text-Rich Understanding
304,150,What number is on the cyclist's shirt?,11,Single,Text-Rich Understanding
322,150,What color is the backpack of the person standing near the right railing on the escalator?,yellow,Single,Attribute Perception
317,150,What does the red sign on the right side of the archway display?,NINTENDO NOW OPEN,Single,Text-Rich Understanding
325,140,What is the license plate number of the black car?,87-IA-64,Single,Text-Rich Understanding
320,140,What does the sign on the left wall say?,ON AIR,Single,Text-Rich Understanding
316,150,What symbol is on the front of the purple tool chest?,H,Single,Text-Rich Understanding
332,130,What word is displayed on the green watermelon-shaped structure?,SQUARE,Single,Text-Rich Understanding
335,140,How many palm trees are visible near the building on the left?,4,Single,Counting
340,140,How many hot dogs are in the container?,4,Single,Counting
341,140,What word is displayed on the oven in the background?,NUGGETS,Single,Text-Rich Understanding
341,150,What word is displayed on the oven's digital screen?,NUGGETS,Single,Text-Rich Understanding
342,150,What word is written below the McDonald's logo on the employee's shirt?,Welcome,Single,Text-Rich Understanding
342,130,What food item name is displayed on the equipment in the background?,Sausage,Single,Text-Rich Understanding
336,140,What number is displayed on the white pillar in the walkway?,6,Single,Text-Rich Understanding
325,130,What is the license plate number of the white car parked on the left side of the street?,UF-63-25,Single,Text-Rich Understanding
349,150,What is written on the blue and brown box?,FISH-O-FISH,Single,Text-Rich Understanding
345,130,What number is printed on the receipt attached to the paper bag?,197,Single,Text-Rich Understanding
346,130,What number is printed on the receipt held by the person?,1442,Single,Text-Rich Understanding
352,140,What brand name is visible on the green dish soap bottle?,Fairy,Single,Text-Rich Understanding
350,150,What text is printed on the blue shirt of the person preparing food?,HEILER PAWY NEWARK,Single,Text-Rich Understanding
352,130,What brand name is visible on the green bottle near the sink?,FAIRY,Single,Text-Rich Understanding
352,150,What brand name is visible on the green dish soap bottle?,Fairy,Single,Text-Rich Understanding
353,130,What color are the beads on the bracelet worn on the right wrist of the person preparing sushi?,white,Single,Attribute Perception
351,150,What number is displayed on the coffee machine's screen during the tamping process?,3.01,Single,Text-Rich Understanding
356,130,What does the yellow warning sign in the background say?,Very hot,Single,Text-Rich Understanding
353,150,What color are the beads on the bracelet worn on the right wrist?,white,Single,Attribute Perception
356,140,What does the yellow warning sign in the background say?,Caution Very hot water,Single,Text-Rich Understanding
359,140,What additional instruction is printed on the almond milk carton?,"FROTH, STEAM",Single,Text-Rich Understanding
364,130,What does the yellow sign on the counter say?,Very hot water,Single,Text-Rich Understanding
360,150,What number is displayed on the coffee machine's screen?,28,Single,Text-Rich Understanding
357,150,What number is displayed on the digital screen of the machine?,3,Single,Text-Rich Understanding
361,130,What number is displayed on the digital scale?,17.6,Single,Text-Rich Understanding
369,150,What is the brand name on the yellow carton?,RUDE HEALTH,Single,Text-Rich Understanding
366,130,What is the brand name printed on the yellow carton near the sink?,RUDE HEALTH,Single,Text-Rich Understanding
369,140,What brand name is printed on the yellow carton near the sink?,RUDE HEALTH,Single,Text-Rich Understanding
375,130,What brand name is visible on the machine processing the potato?,NEMCO,Single,Text-Rich Understanding
378,130,What color are the shoes of the person in the background?,white,Single,Attribute Perception
380,130,What is the name of the street displayed on the green street sign?,E 35 ST,Single,Text-Rich Understanding
381,130,What is the name of the bank visible on the building on the left side of the street?,citibank,Single,Text-Rich Understanding
380,140,What is the name of the company displayed on the prominent skyscraper in the background?,MetLife,Single,Text-Rich Understanding
383,150,What is written on the green sign carried by the person crossing the street?,PSYCHIC,Single,Text-Rich Understanding
381,140,What is the license plate number of the yellow van in the foreground?,870,Single,Text-Rich Understanding
385,140,What is the license plate number of the black Toyota SUV in the center?,T716049C,Single,Text-Rich Understanding
385,150,What is the license plate number of the black Toyota SUV in the center of the frame?,T716049C,Single,Text-Rich Understanding
387,140,What is the license plate number of the black SUV in the foreground?,T484207C,Single,Text-Rich Understanding
382,130,What is the number on the back of the white bus?,8082,Single,Text-Rich Understanding
390,140,What is the name of the street shown on the green sign?,Prince St,Single,Text-Rich Understanding
389,130,What text is displayed on the sign of the building on the left side of the street?,NOW LEASING,Single,Text-Rich Understanding
389,140,What number is displayed on the back of the red double-decker bus?,166,Single,Text-Rich Understanding
394,130,What is the text on the sign of the red building on the right side of the street?,THRIVE,Single,Text-Rich Understanding
388,150,What is the license plate number of the central yellow taxi?,2K30H,Single,Text-Rich Understanding
391,150,What is the alphanumeric code on the side of the brown and beige tour bus?,ADL3,Single,Text-Rich Understanding
390,150,What brand name is displayed on the side of the blue tour bus?,JOHNNY WAS,Single,Text-Rich Understanding
396,140,What is the name of the street displayed on the green street sign?,E 71 ST,Single,Text-Rich Understanding
394,140,What brand name is displayed on the large billboard featuring a shirtless man?,Calvin Klein,Single,Text-Rich Understanding
392,140,What is the clearance height indicated on the yellow sign?,12'-7,Single,Text-Rich Understanding
396,130,What is the name of the street shown on the green sign at the intersection?,E 71 ST,Single,Text-Rich Understanding
396,150,What is the name of the street shown on the green street sign at the intersection?,E 71 ST,Single,Text-Rich Understanding
400,130,What is written on the purple banner hanging from the building on the left?,Harry Potter,Single,Text-Rich Understanding
397,130,What is the name of the street shown on the green street sign located on the right side of the intersection?,E 78 ST,Single,Text-Rich Understanding
400,140,What is written on the purple banner hanging from the building on the left side of the street?,Harry Potter,Single,Text-Rich Understanding
406,130,What color is the sign on the building visible through the window in the background?,blue,Single,Attribute Perception
402,140,"What word is displayed below ""Public Parking"" on the sign of the left building?",PARK,Single,Text-Rich Understanding
409,130,What color is the shirt of the person visible through the window?,yellow,Single,Attribute Perception
401,130,What is the name of the store with the red awning on the left side of the street?,DELI,Single,Text-Rich Understanding
409,150,What word is printed on the napkin dispenser?,BURGER,Single,Text-Rich Understanding
405,130,What color is the bottle visible in the background near the bartender's hand?,green,Single,Attribute Perception
419,150,What color is the small lever positioned near the pilot's right leg?,orange,Single,Attribute Perception
416,140,What color is the small tag near the control stick?,orange,Single,Attribute Perception
426,130,What number is displayed on the blue sign in the background?,192,Single,Text-Rich Understanding
427,130,What is the registration number on the helicopter?,N939SH,Single,Text-Rich Understanding
419,130,What electronic device is visible on the right side of the cockpit near the pilot's leg?,smartphone,Single,Object Perception
421,140,What color is the pilot's sleeve visible near the control stick?,blue,Single,Attribute Perception
406,150,What is the brand name on the large bottle at the bar?,Hennessy,Single,Text-Rich Understanding
414,150,What is the numerical value displayed on the yellow price tag near the cereal products in the grocery store aisle?,6.99,Single,Text-Rich Understanding
429,140,What pattern is on the right pilot's shirt?,birds,Single,Attribute Perception
437,150,What number is displayed on the price tag attached to the shelf in the store aisle?,27,Single,Text-Rich Understanding
440,140,What is the exact price displayed on the price tag for the product in the top shelf?,26.95,Single,Text-Rich Understanding
441,130,What number is displayed on the price tag below the boxes on the shelf?,13,Single,Text-Rich Understanding
442,130,What is the price listed on the shelf tag for CRÈME FRAÎCHE?,15.5,Single,Text-Rich Understanding
438,150,What weight is printed on the green and white box on the shelf?,500g,Single,Text-Rich Understanding
446,130,What brand name is printed on the green boxes in the storage area?,Bregott,Single,Text-Rich Understanding
441,140,What number is displayed on the price tag of the product in the store aisle?,13,Single,Text-Rich Understanding
442,150,What is the product name written on the price tag below the stacked containers in the refrigerated display?,CRÈME FRAÎCHE,Single,Text-Rich Understanding
442,140,What number is displayed on the price tag in the refrigerated section?,15,Single,Text-Rich Understanding
448,140,What color is the stripe on the left glove?,yellow,Single,Attribute Perception
446,140,What is the price displayed on the shelf tag above the orange boxes?,12.95,Single,Text-Rich Understanding
452,150,What does the small sign on the sidewalk near the pink building say?,OPEN,Single,Text-Rich Understanding
455,150,What color are the stripes on the traffic cone visible through the left window?,white,Single,Attribute Perception
459,140,What is written on the yellow sign on the windshield?,PLEASE HAVE,Single,Text-Rich Understanding
460,140,What is the speed limit indicated by the sign on the pole?,70,Single,Text-Rich Understanding
448,150,What brand name is printed on the cardboard box located in the upper right section of the stack?,Sagolika,Single,Text-Rich Understanding
462,140,What is the name on the sign above the large painting?,MARK GLEASON,Single,Text-Rich Understanding
463,130,What is the name on the black sign above the central painting?,Mark Pugh,Single,Text-Rich Understanding
465,130,"What text appears below ""GIRONA | SPAIN"" on the pink sign?",EUROPEAN PAVILION,Single,Text-Rich Understanding
466,150,What does the sign on the wall next to the mannequin say?,FIRE EXTINGUISHER,Single,Text-Rich Understanding
472,150,What text is displayed on the white wall in the art exhibition?,아트인동산 art in dongsan,Single,Text-Rich Understanding
450,140,What symbol is on the yellow diamond-shaped road sign visible on the left side of the road?,pedestrian,Single,Object Perception
462,150,What word is written on the wall above the large orange painting?,CONTEMPORARY,Single,Text-Rich Understanding
468,150,How many small marks are on the white wall to the right of the large textured artwork?,3,Single,Counting
469,140,What is the name displayed on the sign in the background of the art exhibition?,PERKINS,Single,Text-Rich Understanding
483,130,What text is displayed in the top left corner of the video?,RC RC RC!!!,Single,Text-Rich Understanding
483,150,What is the text on the small sign near the track?,tesa,Single,Text-Rich Understanding
483,140,What text is visible on the left side of the track in the video?,RC RC RC!!!,Single,Text-Rich Understanding
484,140,What text is displayed on the large black sign in the background during the race?,TDR,Single,Text-Rich Understanding
486,140,What is the name associated with the car labeled #36?,R. Mixon,Single,Text-Rich Understanding
485,150,What is the name associated with the race car entry numbered #61?,Tom W.,Single,Text-Rich Understanding
490,130,"What text appears below the ""Standings"" header in the race standings display?",Race 1,Single,Text-Rich Understanding
487,140,What text is displayed on the small sign with a rabbit symbol visible during the race?,TBR,Single,Text-Rich Understanding
454,130,What symbol is displayed on the yellow road sign visible through the bus windshield?,pedestrian,Single,Object Perception
487,130,What is the name associated with the car numbered 79?,Haul Inngas,Single,Text-Rich Understanding
492,130,"What text appears above the word ""REPLAY"" in the bottom right corner of the screen?",ARE YOU TRACKIN?,Single,Text-Rich Understanding
489,150,"What text appears directly below ""Standings"" in the standings display?",Heat 2,Single,Text-Rich Understanding
492,150,What is the race time displayed on the digital screen?,26.461,Single,Text-Rich Understanding
493,150,What is the racing team name associated with Larro?,409 DIECAST RACING,Single,Text-Rich Understanding
493,130,"What text is displayed on the red banner above the word ""REPLAY"" in the bottom right corner of the scene?",ARE YOU TRACKIN'?,Single,Text-Rich Understanding
487,150,What is the last name of the racer with the number 79?,Inngas,Single,Text-Rich Understanding
498,150,What is the name listed next to the number 24 in the leaderboard?,C. Racelott,Single,Text-Rich Understanding
497,140,What is the brand name visible on the yellow freight car in the train?,Swift,Single,Text-Rich Understanding
496,140,"What text appears above the word ""REPLAY"" in the logo visible on the screen?",ARE YOU TRACKIN'?,Single,Text-Rich Understanding
494,130,What number is displayed on the green car?,46,Single,Text-Rich Understanding
500,140,What is the name of the first player listed on the scoreboard?,Randy Ferrero,Single,Text-Rich Understanding
476,130,What is displayed on the small white sign next to the blue artwork?,QR code,Single,Object Perception
499,140,What number is displayed on the side of Jonabi's vehicle?,5,Single,Text-Rich Understanding
1,160,What is the website address displayed on the advertising board behind the goal?,www.miranza.es,Single,Text-Rich Understanding
3,160,What is the text on the advertising board visible in the background during the match?,FOOTBALL 2024,Single,Text-Rich Understanding
6,160,What is the name on the back of the player wearing jersey number 9?,N. JORGENSEN,Single,Text-Rich Understanding
4,180,What brand name is visible on the advertising board near the left goal?,Spotify,Single,Text-Rich Understanding
2,160,What number is on the photographer's jacket in the background?,4561,Single,Text-Rich Understanding
10,170,What color is the dial of the wristwatch worn by the person?,Black,Single,Attribute Perception
7,160,"What symbol appears next to ""FIFA"" in the top right corner of the screen?",®,Single,Text-Rich Understanding
7,180,What is the name on the back of the player's jersey?,E. MARTINEZ,Single,Text-Rich Understanding
18,180,What word is displayed on the small sign on the kitchen counter behind the person?,HOT,Single,Text-Rich Understanding
19,170,What does the wooden sign on the wall say?,TANA BAY HOUSE,Single,Text-Rich Understanding
26,170,What color is the butter in the small dish on the cutting board?,pale yellow,Single,Attribute Perception
8,160,What number is displayed in the green circle on the scoreboard beneath the match score?,2,Single,Text-Rich Understanding
29,180,What color is the cap of the bottle near the limes on the kitchen counter?,blue,Single,Attribute Perception
23,160,What is the time shown on the timer when the woman is grinding pepper into the pan?,4:26,Single,Text-Rich Understanding
32,170,What word is displayed on the red sign mounted on the kitchen wall?,COOK,Single,Text-Rich Understanding
27,160,What color is the spatula being used to stir the ingredients in the pan?,red,Single,Attribute Perception
39,160,How many control buttons are on the stove?,5,Single,Counting
26,180,What utensil is the person holding in their right hand in the initial frame?,knife,Single,Object Perception
36,160,What type of meat is in the bowl next to the grater?,chicken,Single,Object Perception
42,160,How many black control knobs are on the stovetop?,5,Single,Counting
39,170,What is the surface pattern of the frying pan?,honeycomb,Single,Attribute Perception
36,180,What type of meat is in the small bowl on the counter?,chicken,Single,Object Perception
43,170,What does the small sign on the counter display?,NEXT LEVEL KITCHEN,Single,Text-Rich Understanding
20,160,What is in the white bowl on the left side of the kitchen counter?,shredded cheese,Single,Object Perception
38,160,What ingredient is being added to the bowl in the overhead view of the kitchen counter?,garlic,Single,Object Perception
45,160,What is written on the small sign on the wall behind the chef?,HOT,Single,Text-Rich Understanding
47,180,How many black buttons are on the stove's control panel?,5,Single,Counting
50,160,What is the text printed on the front of the machine?,cricut joy,Single,Text-Rich Understanding
50,180,What brand name is written on the white pen being used?,Cricut,Single,Text-Rich Understanding
45,180,What word is displayed on the small sign on the white brick wall in the kitchen?,HOT,Single,Text-Rich Understanding
38,180,What seasoning is visible on the food being cooked in the pan?,black pepper,Single,Object Perception
51,170,What text is visible in the bottom right corner of the video?,DIY CRAFT TUTORIALS,Single,Text-Rich Understanding
57,160,What word is printed on the pink tube?,Glitter,Single,Text-Rich Understanding
57,180,What is written on the pink tube with a pink cap?,Glitter,Single,Text-Rich Understanding
59,170,What is the text printed on the top right corner of the green cutting mat?,StandardGrip,Single,Text-Rich Understanding
62,180,What word is printed on the roll of tape?,Tape,Single,Text-Rich Understanding
63,160,What brand name is visible on the tweezers being used?,Cricut,Single,Text-Rich Understanding
62,170,What brand name is printed on the pen being used to draw on the purple paper?,Cricut,Single,Text-Rich Understanding
66,180,What text is visible in the bottom right corner of the video?,DIY CRAFT TUTORIALS,Single,Text-Rich Understanding
61,180,"What is the option in the context menu that appears between ""Slice"" and ""Flatten""?",Weld,Single,Text-Rich Understanding
68,160,What text is visible in the bottom right corner of the video frame?,DIY CRAFT TUTORIALS,Single,Text-Rich Understanding
72,170,What color is the woman's headscarf in the close-up shot?,purple,Single,Attribute Perception
70,160,What is the zoom level percentage displayed in the design software interface?,100,Single,Text-Rich Understanding
71,170,"What is the first item listed under ""MUST INCLUDE"" on the whiteboard?",PARALLEL EDITING (PERFORMANCE + STORY),Single,Text-Rich Understanding
74,160,What are the examples of parallel stories listed on the whiteboard?,"MAGNOLIA, TRAFFIC, DAZED AND CONFUSED",Single,Text-Rich Understanding
80,180,"What movie is specified in the ""VIEWING"" section of the whiteboard?",VERTIGO,Single,Text-Rich Understanding
77,170,"What film is listed under the ""VIEWING"" section on the whiteboard?",THE ELEPHANT MAN (1980),Single,Text-Rich Understanding
78,160,"What movie is listed under the ""VIEWING"" section on the whiteboard?",RAIDERS OF THE LOST ARK (1981),Single,Text-Rich Understanding
78,180,"What year is specified next to ""RAIDERS OF THE LOST ARK"" in the viewing section of the whiteboard?",1981,Single,Text-Rich Understanding
82,160,What is the lab assignment listed on the whiteboard?,RECORD EXAMPLES OF EACH DISTANCE + ANGLE,Single,Text-Rich Understanding
82,180,What film is specified for viewing in the lesson on the whiteboard?,The Third Man,Single,Text-Rich Understanding
83,170,"What movie title and year are listed under ""VIEWING"" on the whiteboard?",THE HUDSUCKER PROXY (1994),Single,Text-Rich Understanding
83,180,"What movie is listed under the ""VIEWING"" section on the whiteboard?",The Hudsucker Proxy,Single,Text-Rich Understanding
84,180,"What movie title is specified under the ""VIEWING"" section on the whiteboard?",Pride + Prejudice (2005),Single,Text-Rich Understanding
84,170,"What movie is listed under the ""VIEWING"" section on the whiteboard?",Pride + Prejudice (2005),Single,Text-Rich Understanding
86,160,What color is the shirt of the person walking in the background during the scene?,white,Single,Attribute Perception
90,180,What color are the man's eyes in the scene?,blue,Single,Attribute Perception
88,160,What punctuation marks enclose the year in the text overlay?,parentheses,Single,Text-Rich Understanding
86,180,"What year is specified next to ""BRIEF ENCOUNTER"" in the viewing assignment on the whiteboard?",1945,Single,Text-Rich Understanding
91,160,"What film is listed under the ""VIEWING"" section on the whiteboard?",Bonnie + Clyde (1967),Single,Text-Rich Understanding
97,180,What color are the jockey's shirt sleeves?,red,Single,Attribute Perception
92,160,What does the lab assignment specify regarding the number of master and singles shots?,"1 MASTER, 2 SINGLES",Single,Text-Rich Understanding
93,180,What letter is displayed on the circular emblem on the wall?,B,Single,Text-Rich Understanding
95,180,"What film is listed under the ""VIEWING"" section on the whiteboard?",GRIZZLY MAN (2005),Single,Text-Rich Understanding
86,170,What is the dark-colored beverage in the short glass on the table?,cola,Single,Object Perception
100,180,What is the time duration specified in parentheses for the short video project?,2-4min.,Single,Text-Rich Understanding
101,170,"What is the exact phrase listed under ""MUST INCLUDE"" on the whiteboard that specifies a requirement involving a character and a camera?",A CHARACTER AND A CAMERA THAT MOVES,Single,Text-Rich Understanding
102,160,"What is specified under ""MUST NOT INCLUDE"" on the whiteboard?","ANY DIALOGUE (EX. SPEECH, LYRICS, TEXT, ETC.)",Single,Text-Rich Understanding
103,170,"What is the first item listed under ""SHOULD INCLUDE"" on the whiteboard?",EFFECTIVE USE OF MISE EN SCENE,Single,Text-Rich Understanding
101,180,"What is the exact phrase listed under ""MUST INCLUDE"" on the whiteboard that specifies a character and a camera?",A CHARACTER AND A CAMERA THAT MOVES,Single,Text-Rich Understanding
101,160,What is the first item with a checkmark listed at the bottom of the whiteboard?,TREATMENT,Single,Text-Rich Understanding
104,160,What model number is displayed on the graphics card?,RTX 4090,Single,Text-Rich Understanding
102,180,What is specified as not to be included in the silent film project according to the whiteboard?,"ANY DIALOGUE (EX. SPEECH, LYRICS, TEXT, ETC.)",Single,Text-Rich Understanding
100,160,"What is the status of the ""STORYBOARD"" checkbox on the whiteboard?",unchecked,Single,Attribute Perception
103,180,"What is the first item listed under ""SHOULD INCLUDE"" on the whiteboard?",EFFECTIVE USE OF MISE EN SCENE,Single,Text-Rich Understanding
108,170,What is the L2 cache size listed for the AD103 RTX 4080 in the diagram?,64 MB,Single,Text-Rich Understanding
110,160,"In the GEEKBENCH 4 performance test chart, what is the model identifier in parentheses next to ""iPhone 11 Pro Max""?",A13,Single,Text-Rich Understanding
105,170,What is the CUDA core count for the RTX 4070 SUPER as shown in the 3DMark Time Spy bar chart?,7168,Single,Text-Rich Understanding
107,160,What is the compression value for MacBook Air 13 in the 7-Zip compression test?,56280,Single,Text-Rich Understanding
110,170,What is the percentage increase indicated for the iPhone 11 Pro Max (A13) in the GEEKBENCH 5 performance test chart?,33%,Single,Text-Rich Understanding
109,170,What small vehicle model is visible on the right shelf in the background?,white car,Single,Object Perception
110,180,What is the model name of the device with the red highlight in the GEEKBENCH 5 performance test chart?,iPhone 11 Pro Max (A13),Single,Text-Rich Understanding
113,170,"What text is displayed below the ""骁龙8+"" label in the Geekbench 5 CPU test chart?",工程机,Single,Text-Rich Understanding
112,160,What brand logo is visible on the laptop screen?,Razer,Single,Text-Rich Understanding
108,180,What is the bit width value highlighted in green for the AD103 RTX 4080 in the diagram?,256 bit,Single,Text-Rich Understanding
108,160,What is the memory bus width of the RTX 4080?,256 bit,Single,Text-Rich Understanding
114,160,What model name is printed on the motherboard?,TOMAHAWK,Single,Text-Rich Understanding
111,180,What is the clock speed of the X2 core in the Snapdragon 8 Gen 1 processor?,3.0GHz,Single,Text-Rich Understanding
116,160,What is the texture of the front panel of the computer case?,mesh,Single,Attribute Perception
116,180,What text is visible on the mesh surface in the close-up shot?,GEFORCE,Single,Text-Rich Understanding
117,170,What is the peak power consumption in watts for the GeForce RTX 4080 SUPER as shown in the comparison table?,246,Single,Text-Rich Understanding
113,180,What is the device name associated with the 天玑9000 processor in the Geekbench 5 CPU test chart?,红米K50 Pro,Single,Text-Rich Understanding
114,180,What certification mark is printed on the RAM module?,CE,Single,Text-Rich Understanding
122,180,What text is printed on the white graphics card?,GEFORCE RTX,Single,Text-Rich Understanding
121,170,What is the text on the car's license plate?,OPTIMUM,Single,Text-Rich Understanding
119,170,What is the second letter in the text displayed on the screen?,A,Single,Text-Rich Understanding
121,180,What is the text on the car's license plate?,OPTIMUM,Single,Text-Rich Understanding
120,180,How many ports are visible on the front of the smaller electronic device?,3,Single,Counting
122,160,What brand name is visible on the side of the graphics card in the opening shot?,RADEON,Single,Text-Rich Understanding
130,160,What color is the base of the lamp visible on the right side of the frame?,black,Single,Attribute Perception
144,160,What does the sign in the background say?,PLEASE RETURN WEIGHTS,Single,Text-Rich Understanding
130,170,What color is the base of the lamp visible in the background?,black,Single,Attribute Perception
134,170,What color is the metal part of the paintbrush?,silver,Single,Attribute Perception
141,170,What color is the topmost paint pan in the vertical palette on the left side of the frame?,yellow,Single,Attribute Perception
